,page,job_id,title,role_id,listing_date,teaser,classification,subClassification,workType,location,suburbWhereValue,salary,companyName,company_advertiser,isPrivateAdvertiser
480,22,59612009,Machine Learning Engineer,machine-learning-engineer,2023-01-04T23:25:01Z,"Provide thought leadership, build and implement services to enable the ML Ops end to end CI/CD pipeline to support the Data Science team.",Information & Communication Technology,Engineering - Software,Contract/Temp,Brisbane,Brisbane QLD 4000,$1k - $1120 p.d.,Michael Page,Michael Page Information Technology,False
481,22,59803207,Technical Data Advisor,adviser,2023-01-20T10:20:05Z,This is a great opportunity to join Shell!,Information & Communication Technology,Consultants,Full Time,Perth,Perth WA 6000,,Shell,Shell Australia Pty Ltd,False
482,22,59702154,Solution Architect | Data & Analytics,solutions-architect,2023-01-12T06:55:18Z,EY Building a better working world: Support our clients in defining and implementing a data journey aligned with their strategic objectives,Information & Communication Technology,Architects,Full Time,Canberra,,,EY,EY,False
483,22,59711832,"Team Lead, Data and Analytics",team-leader,2023-01-13T02:48:24Z,Great opportunity to be part of a transformation journey,Information & Communication Technology,Database Development & Administration,Full Time,Sydney,,"$175,000 - $185,000",Profusion Group,Profusion PAC Pty Ltd,False
484,23,59814860,Senior Risk Manager,risk-manager,2023-01-23T03:05:04Z,"This role can be based in Melbourne, Sydney, or Brisbane.  Let us know what works for you.",Banking & Financial Services,Compliance & Risk,Full Time,Brisbane,Brisbane QLD 4000,,ANZ,ANZ Banking group,False
485,23,59727504,Structural Engineer/Senior Structural Engineer,structural-engineer,2023-01-15T23:43:56Z,Positions for engineers and senior engineers | Small company | Directors who care about your career development | Choice of Brisbane or Mackay offices,Engineering,Civil/Structural Engineering,Full Time,Brisbane,Brisbane QLD 4000,,FIELD Engineers,FIELD Engineers Pty Ltd,False
486,23,59746806,Business Intelligence Developer,business-intelligence-developer,2023-01-17T00:54:00Z,Working for a prestigious government enterprise to on an initial 4-5 month contract to develop ETL code for EDWARD Data Warehouse project.,Information & Communication Technology,Database Development & Administration,Contract/Temp,Sydney,St Leonards NSW 2065,Super,Bluefin Resources,Bluefin Resources Pty Limited,False
487,23,59787040,Data Science Manager,data-science-manager,2023-01-19T09:27:13Z,"This role leads the technical design, development & implementation of data science tools & techniques to positively contribute to policing outcomes.",Information & Communication Technology,Database Development & Administration,Full Time,Perth,Perth WA 6000,"Level 7, $124,347 - $132,904 p.a. (PSCSAA 2022)",WA Police,Western Australia Police,False
488,23,59735954,Senior Software Engineer - Python,software-engineer,2023-01-16T04:39:01Z,We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients.,Information & Communication Technology,Developers/Programmers,Full Time,Adelaide,Adelaide SA 5000,,EPAM Systems Australia,EPAM,False
489,23,59731071,"Program Lead, Data Engineering",data-engineer,2023-01-16T01:53:43Z,"Support the data pipeline cancer control for the Institute, oversee the program of work to produce timely, 'fit for purpose’ datasets.",Information & Communication Technology,Management,Contract/Temp,Sydney,St Leonards NSW 2065,"$133,671 - $159,929",Cancer Institute NSW,Cancer Institute NSW,False
490,23,59730478,Data Specialist,data-specialist,2023-01-16T01:30:21Z,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Information & Communication Technology,Database Development & Administration,Full Time,Sydney,Minchinbury NSW 2770,"$106, 600 - $127, 100 (including superannuation)",ALDI,Aldi Stores,False
491,23,59800880,Senior Python Engineer - $180k + Super + Bonus - Investment Banking,python-engineer,2023-01-20T06:02:24Z,A senior engineering position for people interested in asset management and the regulatory landscape behind it - Leverage your python skills!,Information & Communication Technology,Engineering - Software,Full Time,Sydney,,Up to $180k + Super + Bonus,Clarrow,Clarrow Pty Ltd,False
492,23,59648940,Senior Machine Learning Engineer,machine-learning-engineer,2023-01-09T05:06:25Z,Hiring a Senior ML Engineer to help increase the capabilities of a first of its kind platform.,Information & Communication Technology,Engineering - Software,Full Time,Melbourne,Melbourne VIC 3000,"$150,000K+Super",S2M,S2M,False
493,23,59852291,Data Scientist - Centre for Work Health and Safety,workplace-health-and-safety,2023-01-25T05:08:44Z,Assist in the development of solutions that prevent harm in the workplace and support better work health and safety regulation.,Information & Communication Technology,Other,Full Time,Sydney,Parramatta NSW 2150,$101947 - $116211 p.a. + superannuation,NSW Department of Customer Service,NSW Department of Customer Service,False
494,23,59883316,Python Programmer,python-developer,2023-01-27T03:15:39Z,Looking for a Dynamic person with good communication skills to fill the position of Python Programmer at a progressive well established organisation.,Information & Communication Technology,Developers/Programmers,Full Time,Sydney,Alexandria NSW 2015,,,NETTEX AUSTRALIA PTY LTD,False
495,23,59777330,Data Architect,data-architect,2023-01-19T00:05:22Z,Great opportunity to play an integral part of a leading insurance firm as they undergo a huge transformation working on important tech and strategy!,Information & Communication Technology,Architects,Full Time,Sydney,Sydney NSW 2000,Up to $220K package inc 13% Super + 20% STI,SustainAbility Consulting,SustainAbility Consulting,False
496,23,59784944,Data Engineering and Regulated Infrastructure Operations Lead,data-engineer,2023-01-19T05:41:00Z,"You will be responsible for leading and growing our high performing, multi-disciplined Data Engineering and Financial Services team.",Information & Communication Technology,Management,Full Time,Sydney,Sydney NSW 2000,,Itoc,ITOC Pty Ltd,False
497,23,59743678,Data Architect,data-architect,2023-01-16T22:54:18Z,We’re seeking Data Architect for 6 contract role–based in MEL with possible extn. #JoinASAP #IBM data architect #SQL #Azure #Business Intelligence(BI),Information & Communication Technology,Architects,Contract/Temp,Melbourne,Melbourne VIC 3000,,NTT,NTT Ltd,False
498,23,59675818,ETL Developer,extract-transform-load-developer,2023-01-10T23:47:49Z,ETL Developer,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Melbourne,Parkville VIC 3052,,Royal Melbourne Hospital,Royal Melbourne Hospital,False
499,23,59668229,HCM Program Data Developer,data-developer,2023-01-10T05:29:07Z,"Join a supportive team of like-minded, passionate key players in developing and rolling out an exciting new project!",Information & Communication Technology,Database Development & Administration,Contract/Temp,Sydney,Sydney NSW 2000,$800 - $900/daily + Super,PRA,PRA,False
500,23,59700764,Software Engineer - Python,software-engineer,2023-01-12T05:32:47Z,Seeking a Software Engineer to join their team in late February.,Information & Communication Technology,Developers/Programmers,Contract/Temp,Canberra,Canberra ACT 2600,$100 - $115 p.h. + Flexible arrangements,Recruitment Hive,Recruitment Hive,False
501,23,59645716,Data Scientist,data-scientist,2023-01-09T03:23:28Z,We have an exciting opportunity for an experienced and passionate Data Scientist to join our Product & Sales team!,Information & Communication Technology,Database Development & Administration,Full Time,Melbourne,Melbourne VIC 3000,Competitive salary and amazing benefits on offer!,flybuys,Flybuys,False
502,23,59698247,Head of Data - Technology,Head-of-Data,2023-01-12T03:50:42Z,The role will initially be focused creating and delivering a customer data platform that enables the business to be informed &make optimal decisions.,Information & Communication Technology,Management,Full Time,Sydney,Sydney NSW 2000,,Are Media,Are Media,False
503,23,59650429,Python Developer,python-developer,2023-01-09T05:55:54Z,"Python Developer, Melbourne $140k - $160k. One of Australia's leading AI platform companies is looking for a talented Python Developer.",Information & Communication Technology,Engineering - Software,Full Time,Melbourne,,140-160k,Aurec Group,Aurec,False
504,23,59855117,Consultant | Data Analyst,data-analyst,2023-01-25T06:34:47Z,"Ignite a meaningful career that's supported by flexible working, unparalleled development opportunities and progressive policies and benefits.",Information & Communication Technology,Consultants,Full Time,Canberra,Canberra ACT 2600,,PwC,PwC,False
505,23,59692885,Data Configuration Specialist,configuration-specialist,2023-01-12T00:24:54Z,An analytical problem-solver with decision making ability and a high attention to detail. Drive the delivery of the technical data migration.,Information & Communication Technology,Business/Systems Analysts,Full Time,Gosford & Central Coast,Gosford NSW 2250,,Greater Bank,Greater Bank Limited,False
506,24,59848814,Data Analyst - Hybrid,data-analyst,2023-01-25T03:08:02Z,The BI/Data Analyst owns the SQL and Tableau library for dashboards and analyses within AIPS.,Information & Communication Technology,Business/Systems Analysts,Full Time,Sydney,Sydney NSW 2000,Base + Super + Bonus,SEEK,SEEK Limited,False
507,24,59848325,Data Analyst,data-analyst,2023-01-25T02:51:13Z,The BI/Data Analyst owns the SQL and Tableau library for dashboards and analyses within AIPS.,Information & Communication Technology,Business/Systems Analysts,Full Time,Melbourne,Cremorne VIC 3121,Base + Super + Bonus,SEEK,SEEK Limited,False
508,24,59828280,Team Leader Data Analytics,team-leader,2023-01-24T01:41:41Z,Play a key role in improving the reliability and management of our network by using data analytics as part of a cutting-edge team!,Engineering,Electrical/Electronic Engineering,Full Time,Melbourne,Mount Waverley VIC 3149,,,UE,False
509,24,59636810,Data Lead /Data Architect,data-architect,2023-01-08T22:30:49Z,"Exciting opportunity for a Data Lead to join a renowned supply chain brand recognized across Australia. Power BI, SQL and Azure.",Information & Communication Technology,Architects,Full Time,Sydney,Blacktown NSW 2148,Stable and growing supply chain company - Azure,The Recruitment Company,The Recruitment Company,False
